source	target	correlation
Methanobrevibacter	Methanobrevibacter	1.0
Methanobrevibacter	Granulicella	-0.006326887652725605
Methanobrevibacter	Terriglobus	-0.001341518600386331
Methanobrevibacter	Actinobaculum	0.02321058319334263
Methanobrevibacter	Actinomyces	0.0022721074837281684
Methanobrevibacter	Varibaculum	0.0027430555191839297
Methanobrevibacter	Brevibacterium	-0.0013816418003100637
Methanobrevibacter	Corynebacterium	-0.0017636787185970756
Methanobrevibacter	Brachybacterium	-0.001341518600386326
Methanobrevibacter	Leifsonia	-0.0013415186003863317
Methanobrevibacter	Kocuria	-0.001341518600386333
Methanobrevibacter	Micrococcus	-0.0015159378267038798
Methanobrevibacter	Rothia	0.003274212170933197
Methanobrevibacter	Nocardioides	-0.0013415186003863358
Methanobrevibacter	Propionibacteriaceae_unclassified	-0.001399083558568172
Methanobrevibacter	Propionibacterium	-0.0019524911947479556
Methanobrevibacter	Alloscardovia	-0.0020773042677401697
Methanobrevibacter	Bifidobacterium	-0.008833440754318397
Methanobrevibacter	Gardnerella	0.0003330971126857022
Methanobrevibacter	Scardovia	-0.003414944003172309
Methanobrevibacter	Adlercreutzia	-0.003938164238930624
Methanobrevibacter	Atopobium	-0.001461326233559686
Methanobrevibacter	Collinsella	0.04166630590325705
Methanobrevibacter	Coriobacteriaceae_noname	-0.0028115923963948127
Methanobrevibacter	Eggerthella	-0.006459217332006459
Methanobrevibacter	Gordonibacter	0.0037585743732798816
Methanobrevibacter	Olsenella	-0.0018083406291665312
Methanobrevibacter	Slackia	-0.0030281392924634792
Methanobrevibacter	Bacteroidetes_noname	-0.001901059484615368
Methanobrevibacter	Bacteroides	-0.06024528552152068
Methanobrevibacter	Bacteroidales_noname	0.004554857425348128
Methanobrevibacter	Barnesiella	-0.005993100062233519
Methanobrevibacter	Butyricimonas	-0.003505942851178664
Methanobrevibacter	Coprobacter	-0.004959572301546908
Methanobrevibacter	Dysgonomonas	-0.0056773316193155215
Methanobrevibacter	Odoribacter	0.0029981386659950846
Methanobrevibacter	Parabacteroides	-0.013220058479277066
