sample	group	feature	value	view
C3002	IBD	UNGROUPED	15841.0	proteomics
C3002	IBD	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	151.0	proteomics
C3002	IBD	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]	2.0	proteomics
C3002	IBD	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	1.0	proteomics
C3002	IBD	K01805: xylose isomerase [EC:5.3.1.5]	199.0	proteomics
C3002	IBD	K02358: elongation factor EF-Tu	13.0	proteomics
C3002	IBD	K01812: glucuronate isomerase [EC:5.3.1.12]	196.0	proteomics
C3002	IBD	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	129.0	proteomics
C3002	IBD	K03521: electron transfer flavoprotein beta subunit	0.0	proteomics
C3002	IBD	K00024: malate dehydrogenase [EC:1.1.1.37]	171.0	proteomics
C3002	IBD	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	13.0	proteomics
C3002	IBD	K02967: small subunit ribosomal protein S2	0.0	proteomics
C3002	IBD	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	26.0	proteomics
C3002	IBD	K04043: molecular chaperone DnaK	26.0	proteomics
C3002	IBD	K04077: chaperonin GroEL	5.0	proteomics
C3002	IBD	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]	3.0	proteomics
C3002	IBD	K01278: dipeptidyl-peptidase 4 [EC:3.4.14.5]	74.0	proteomics
C3002	IBD	K02357: elongation factor EF-Ts	0.0	proteomics
C3002	IBD	K03046: DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	7.0	proteomics
C3002	IBD	K01803: triosephosphate isomerase (TIM) [EC:5.3.1.1]	211.0	proteomics
C3002	IBD	K07175: PhoH-like ATPase	0.0	proteomics
C3002	IBD	K00615: transketolase [EC:2.2.1.1]	0.0	proteomics
C3002	IBD	K01876: aspartyl-tRNA synthetase [EC:6.1.1.12]	0.0	proteomics
C3002	IBD	K03809: NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	2.0	proteomics
C3002	IBD	K01787: N-acylglucosamine 2-epimerase [EC:5.1.3.8]	15.0	proteomics
C3002	IBD	IGHG1	36851.0	transcriptomics
C3002	IBD	PIGR	2036300.0	transcriptomics
C3002	IBD	IGHA1	648495.0	transcriptomics
C3002	IBD	IGHM	26024.0	transcriptomics
C3002	IBD	REG1A	1096174.0	transcriptomics
C3002	IBD	IGHA2	340621.0	transcriptomics
C3002	IBD	IGJ	734501.0	transcriptomics
C3002	IBD	OLFM4	952695.0	transcriptomics
C3002	IBD	CEACAM5	861458.0	transcriptomics
C3002	IBD	REG1B	388029.0	transcriptomics
C3002	IBD	ITLN1	110945.0	transcriptomics
C3002	IBD	B2M	1620525.0	transcriptomics
C3002	IBD	IGKV3-20	119941.0	transcriptomics
C3002	IBD	MMP1	43879.0	transcriptomics
C3002	IBD	CLCA1	797672.0	transcriptomics
C3002	IBD	COL3A1	38307.0	transcriptomics
C3002	IBD	ALDOB	305859.0	transcriptomics
C3002	IBD	hsa-mir-6723	18155.0	transcriptomics
C3002	IBD	IGKV3-11	42195.0	transcriptomics
C3002	IBD	AGR2	342764.0	transcriptomics
C3002	IBD	LCN2	121587.0	transcriptomics
C3002	IBD	MMP3	2250.0	transcriptomics
C3002	IBD	SLC26A3	599328.0	transcriptomics
C3002	IBD	IGHV3-23	43375.0	transcriptomics
C3002	IBD	EEF1A1	1192627.0	transcriptomics
C3002	IBD	PWY-6737: starch degradation V	0.11425262	metagenomics
C3002	IBD	PPGPPMET-PWY: ppGpp biosynthesis	0.0041494599	metagenomics
